"KO","27L1","27L2","27L3","30L1","30L2","30L3","27R1","27R2","27R3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef"
"K00975",87.286,80.693,76.456,85.237,88.418,73.451,76.993,61.802,52.221,58.961,67.269,67.949,"Glucose-1-phosphate adenylyltransferase","MAG: glucose-1-phosphate adenylyltransferase","Glucose-1-phosphate adenylyltransferase","","GO:0005978;GO:0005524;GO:0008878;GO:0043886;GO:0031470;GO:0009058;GO:0016779","glycogen biosynthetic process;ATP binding;glucose-1-phosphate adenylyltransferase activity;structural constituent of carboxysome shell;carboxysome;biosynthetic process;nucleotidyltransferase activity;structural constituent of carboxysome","glucose-1-phosphate adenylyltransferase "
"K01057",8.0572,4.4829,4.3074,3.4095,0,6.886,4.0101,6.0458,6.695,10.05,11.211,5.0333,"6-phosphogluconolactonase","6-phosphogluconolactonase","","","GO:0005975;GO:0006098;GO:0017057","carbohydrate metabolic process;pentose-phosphate shunt;6-phosphogluconolactonase activity","6-phosphogluconolactonase "
"K01092",0,13.449,13.9987,11.933,14.436,16.067,5.6141,8.7328,12.051,16.7501,16.3071,13.4221,"Fructose-1,6-bisphosphatase/inositol-1-monophosphatase","MAG: inositol monophosphatase;MAG: inositol phosphatase","Inositol-1-monophosphatase;Inositol phosphatase","","GO:0046854;GO:0046855;GO:0008934;GO:0046872;GO:0052832;GO:0052833","phosphatidylinositol phosphate biosynthetic process;inositol phosphate dephosphorylation;inositol monophosphate 1-phosphatase activity;metal ion binding;inositol monophosphate 3-phosphatase activity;inositol monophosphate 4-phosphatase activity","myo-inositol-1(or 4)-monophosphatase "
"K01139",0,0,0,0,0,0,4.8121,10.076,8.7035,3.3501,0,2.5166,"GTP pyrophosphokinase","MAG: (p)ppGpp synthetase","ppGpp synthetase","","GO:0015969","guanosine tetraphosphate metabolic process","GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase "
"K01214",0,0,2.1537,0,0,0,0,4.7023,6.695,4.6901,0,2.5166,"Glycogen operon protein GlgX","MAG: glycogen debranching enzyme","Glycogen debranching enzyme","","GO:0005975;GO:0043170;GO:0004553;GO:0016757;GO:0004133","carbohydrate metabolic process;macromolecule metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds;glycosyltransferase activity;glycogen debranching enzyme activity","isoamylase "
"K01251",32.229,31.38,31.229,23.866,34.285,26.396,35.289,34.931,30.127,26.801,23.442,23.489,"Adenosylhomocysteinase","MAG: adenosylhomocysteinase","Adenosylhomocysteinase","ahcY","GO:0006730;GO:0004013;GO:0005737","one-carbon metabolic process;adenosylhomocysteinase activity;cytoplasm","adenosylhomocysteinase "
"K01255",28.2,30.26,25.844,22.162,19.849,21.806,16.04,20.153,22.763,21.44,22.423,20.972,"Cytosol aminopeptidase","MAG: leucyl aminopeptidase","Probable cytosol aminopeptidase","pepA","GO:0006508;GO:0030145;GO:0070006;GO:0005737;GO:0019538","proteolysis;manganese ion binding;metalloaminopeptidase activity;cytoplasm;protein metabolic process","leucyl aminopeptidase "
"K01256",34.915,28.018,27.998,11.933,19.849,26.396,35.289,36.275,30.797,32.161,27.519,30.2,"Aminopeptidase N","MAG: aminopeptidase N","Aminopeptidase N","","GO:0006508;GO:0004177;GO:0008237;GO:0008270","proteolysis;aminopeptidase activity;metallopeptidase activity;zinc ion binding","aminopeptidase N "
"K01265",0,0,0,0,0,0,0,5.3741,5.356,3.3501,0,0,"Methionine aminopeptidase 1","MULTISPECIES: type I methionyl aminopeptidase","","","GO:0006508;GO:0070006","proteolysis;metalloaminopeptidase activity","methionyl aminopeptidase "
"K01358",24.1718,25.7767,24.7675,18.7519,14.4356,24.101,12.8323,20.1527,20.7545,30.1505,31.5955,22.6497,"ATP-dependent Clp protease proteolytic subunit","MULTISPECIES: ATP-dependent Clp endopeptidase proteolytic subunit ClpP;MULTISPECIES: ATP-dependent Clp protease proteolytic subunit","","","GO:0006508;GO:0004176;GO:0004252","proteolysis;ATP-dependent peptidase activity;serine-type endopeptidase activity","ATP-dependent Clp protease, protease subunit "
"K01406",65.8003,81.8134,88.3018,129.5589,202.1034,112.476,100.251,128.9728,131.221,81.071,97.845,85.5657,"hypothetical protein;Serralysin","MAG: hypothetical protein DCO99_07510;MAG: hypothetical protein DCO99_11315",";Peptidase_M10_C domain-containing protein","",";GO:0005509;GO:0008237;GO:0005615",";calcium ion binding;metallopeptidase activity;extracellular space","serralysin "
"K01414",0,5.6036,5.3842,0,0,2.2953,3.2081,8.0611,12.72,6.0301,0,0,"Oligopeptidase A","MAG: peptidase M3","Oligopeptidase A","","GO:0006508;GO:0004222;GO:0046872;GO:0008233;GO:0008237","proteolysis;metalloendopeptidase activity;metal ion binding;peptidase activity;metallopeptidase activity","oligopeptidase A "
"K01428",6.7143,12.328,8.6148,5.1142,3.6089,8.0337,12.03,18.137,16.737,15.41,9.173,15.939,"Urease subunit alpha","MAG: urease subunit alpha","Urease subunit alpha","ureC","GO:0043419;GO:0009039;GO:0016151;GO:0005737;GO:0006807;GO:0016787;GO:0016810","urea catabolic process;urease activity;nickel cation binding;cytoplasm;nitrogen compound metabolic process;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","urease subunit alpha "
"K01442",6.7143,12.328,8.6148,0,0,10.329,13.634,9.4046,16.7375,13.4,13.25,10.905,"Penicillin acylase;putative protein YxeI","MAG: hypothetical protein DCO99_01140;MAG: choloylglycine hydrolase","CBAH domain-containing protein;Choloylglycine hydrolase","","GO:0016787","hydrolase activity","choloylglycine hydrolase "
"K01465",5.3715,4.4829,7.5379,3.4095,0,5.7383,0,4.7023,7.3645,14.0703,0,11.7443,"Dihydroorotase","MAG: dihydroorotase","Dihydroorotase",";pyrC","GO:0016810;GO:0019856;GO:0044205;GO:0004151;GO:0008270;GO:0016787;GO:0016812","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;pyrimidine nucleobase biosynthetic process;'de novo' UMP biosynthetic process;dihydroorotase activity;zinc ion binding;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides","dihydroorotase "
"K01491",13.429,17.932,10.768,11.933,12.631,18.363,8.8221,10.748,5.356,13.4,13.25,14.261,"Bifunctional protein FolD protein","MAG: bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD","Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase ; Methenyltetrahydrofolate cyclohydrolase ]","folD","GO:0000105;GO:0006164;GO:0009086;GO:0035999;GO:0004477;GO:0004488;GO:0003824","histidine biosynthetic process;purine nucleotide biosynthetic process;methionine biosynthetic process;tetrahydrofolate interconversion;methenyltetrahydrofolate cyclohydrolase activity;methylenetetrahydrofolate dehydrogenase (NADP+) activity;catalytic activity","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase "
"K01507",21.486,20.173,19.383,28.98,34.285,22.953,18.446,20.824,19.415,22.78,23.442,25.166,"Inorganic pyrophosphatase","MULTISPECIES: inorganic diphosphatase","","","GO:0006796;GO:0000287;GO:0004427;GO:0005737","phosphate-containing compound metabolic process;magnesium ion binding;inorganic diphosphate phosphatase activity;cytoplasm","inorganic pyrophosphatase "
"K01524",8.0572,6.7244,3.2305,5.1142,9.0223,5.7383,7.2181,8.0611,8.7035,8.7102,8.1538,8.3888,"Exopolyphosphatase","MAG: exopolyphosphatase","","","","","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase "
"K01585",2.6857,0,0,0,0,2.2953,0,6.0458,7.3645,4.6901,4.0769,4.1944,"Biosynthetic arginine decarboxylase","MAG: arginine decarboxylase","Biosynthetic arginine decarboxylase","speA","GO:0006527;GO:0008295;GO:0008792;GO:0046872;GO:0003824","arginine catabolic process;spermidine biosynthetic process;arginine decarboxylase activity;metal ion binding;catalytic activity","arginine decarboxylase "
"K01586",9.4001,15.69,11.845,6.8189,5.4134,13.772,12.832,10.748,13.39,12.06,7.1346,8.3888,"Diaminopimelate decarboxylase","MAG: diaminopimelate decarboxylase","Diaminopimelate decarboxylase","lysA","GO:0009089;GO:0008836;GO:0030170;GO:0003824","lysine biosynthetic process via diaminopimelate;diaminopimelate decarboxylase activity;pyridoxal phosphate binding;catalytic activity","diaminopimelate decarboxylase "
"K01589",0,6.7244,8.6148,0,5.4134,9.1813,4.8121,6.7176,6.0255,6.0301,5.0961,9.2277,"N5-carboxyaminoimidazole ribonucleotide synthase","MAG: 5-(carboxyamino)imidazole ribonucleotide synthase","N5-carboxyaminoimidazole ribonucleotide synthase   imidazole ribonucleotide synthetase)","purK","GO:0006189;GO:0004638;GO:0005524;GO:0034028;GO:0046872","'de novo' IMP biosynthetic process;phosphoribosylaminoimidazole carboxylase activity;ATP binding;5-(carboxyamino)imidazole ribonucleotide synthase activity;metal ion binding","5-(carboxyamino)imidazole ribonucleotide synthase "
"K01595",18.8,16.811,24.767,8.5237,10.827,17.215,22.456,26.87,23.432,26.131,16.308,24.327,"Phosphoenolpyruvate carboxylase","MAG: phosphoenolpyruvate carboxylase","Phosphoenolpyruvate carboxylase","ppc","GO:0006099;GO:0006107;GO:0015977;GO:0000287;GO:0008964;GO:0003824","tricarboxylic acid cycle;oxaloacetate metabolic process;carbon fixation;magnesium ion binding;phosphoenolpyruvate carboxylase activity;catalytic activity","phosphoenolpyruvate carboxylase "
"K01599",0,5.6036,7.5379,5.1142,9.0223,6.886,8.0201,9.4046,7.3645,7.3702,5.0961,5.8721,"Uroporphyrinogen decarboxylase","MULTISPECIES: uroporphyrinogen decarboxylase","Uroporphyrinogen decarboxylase","hemE","GO:0006782;GO:0004853;GO:0005737;GO:0006779","protoporphyrinogen IX biosynthetic process;uroporphyrinogen decarboxylase activity;cytoplasm;porphyrin-containing compound biosynthetic process","uroporphyrinogen decarboxylase "
"K01601",155.77,110.95,120.61,132.97,131.72,103.29,130.73,96.733,81.009,79.732,76.442,85.566,"Ribulose bisphosphate carboxylase large chain 2","MAG: ribulose-bisphosphate carboxylase large subunit","Ribulose bisphosphate carboxylase large chain","rbcL","GO:0009853;GO:0019253;GO:0000287;GO:0004497;GO:0016984;GO:0031470;GO:0015977","photorespiration;reductive pentose-phosphate cycle;magnesium ion binding;monooxygenase activity;ribulose-bisphosphate carboxylase activity;carboxysome;carbon fixation","ribulose-bisphosphate carboxylase large chain "
"K01602",16.114,16.811,15.076,18.752,19.849,17.215,17.644,10.076,7.3645,10.05,12.231,13.422,"Ribulose bisphosphate carboxylase small chain 2","MULTISPECIES: ribulose bisphosphate carboxylase small subunit","Ribulose bisphosphate carboxylase small subunit","cbbS",";GO:0019253;GO:0031470",";carboxysome;reductive pentose-phosphate cycle","ribulose-bisphosphate carboxylase small chain "
"K01609",0,0,0,0,0,0,2.406,6.0458,2.678,4.0201,0,2.5166,"Indole-3-glycerol phosphate synthase","MAG: indole-3-glycerol phosphate synthase TrpC","Indole-3-glycerol phosphate synthase","trpC","GO:0000162;GO:0004425;GO:0006568","tryptophan biosynthetic process;indole-3-glycerol-phosphate synthase activity;tryptophan metabolic process","indole-3-glycerol phosphate synthase "
"K01624",114.14,96.383,91.532,103.99,110.07,99.847,105.87,73.222,66.95,64.321,95.807,93.954,"Fructose-bisphosphate aldolase class 2","MULTISPECIES: fructose-bisphosphate aldolase class II","Fructose-1,6-bisphosphate aldolase","fba","GO:0006096;GO:0004332;GO:0008270;GO:0005975;GO:0016832","glycolytic process;fructose-bisphosphate aldolase activity;zinc ion binding;carbohydrate metabolic process;aldehyde-lyase activity","fructose-bisphosphate aldolase, class II "
"K01626",0,0,2.1537,0,0,0,2.406,6.0458,4.017,5.3601,0,0,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","MAG: 3-deoxy-7-phosphoheptulonate synthase","Phospho-2-dehydro-3-deoxyheptonate aldolase","","GO:0008652;GO:0009073;GO:0009423;GO:0003849;GO:0009058","amino acid biosynthetic process;aromatic amino acid family biosynthetic process;chorismate biosynthetic process;3-deoxy-7-phosphoheptulonate synthase activity;biosynthetic process;cellular amino acid biosynthetic process","3-deoxy-7-phosphoheptulonate synthase "
"K01647",12.086,16.811,16.153,18.752,21.653,16.067,3.2081,4.0305,8.034,13.4,13.25,9.2277,"Citrate synthase","MAG: citrate synthase","Citrate synthase","","GO:0006099;GO:0036440;GO:0005737;GO:0046912","tricarboxylic acid cycle;citrate synthase activity;cytoplasm;acyltransferase activity, acyl groups converted into alkyl on transfer","citrate synthase "
"K01649",37.6,41.467,30.152,34.095,39.698,44.759,32.883,26.199,27.449,29.481,36.692,37.75,"2-isopropylmalate synthase","MAG: 2-isopropylmalate synthase","2-isopropylmalate synthase","leuA","GO:0009098;GO:0003852;GO:0019752;GO:0003824;GO:0046912","leucine biosynthetic process;2-isopropylmalate synthase activity;carboxylic acid metabolic process;catalytic activity;acyltransferase activity, acyl groups converted into alkyl on transfer","2-isopropylmalate synthase "
"K01652",0,3.3622,5.3842,0,0,5.7383,4.0101,7.3893,6.695,9.3802,5.0961,6.711,"Acetolactate synthase large subunit","biosynthetic-type acetolactate synthase large subunit","","","GO:0009082;GO:0000287;GO:0003984;GO:0030976;GO:0050660;GO:0003824","branched-chain amino acid biosynthetic process;magnesium ion binding;acetolactate synthase activity;thiamine pyrophosphate binding;flavin adenine dinucleotide binding;catalytic activity","acetolactate synthase I/II/III large subunit "
"K01653",0,5.6036,5.3842,8.5237,9.0223,9.1813,2.406,4.7023,2.678,6.0301,7.1346,6.711,"Putative acetolactate synthase small subunit","MAG: acetolactate synthase small subunit","Acetolactate synthase small subunit","","GO:0009097;GO:0009099;GO:0050790;GO:0003984;GO:1990610;GO:0005737;GO:0009082","isoleucine biosynthetic process;valine biosynthetic process;regulation of catalytic activity;acetolactate synthase activity;acetolactate synthase regulator activity;cytoplasm;branched-chain amino acid biosynthetic process","acetolactate synthase I/III small subunit "
"K01657",14.772,11.207,12.922,5.1142,9.0223,12.624,12.03,13.435,12.051,13.4,12.231,11.744,"Anthranilate synthase component 1","anthranilate synthase component I","","","GO:0009058","biosynthetic process","anthranilate synthase component I "
"K01662",0,2.2415,0,0,0,0,0,4.7023,5.356,3.3501,0,0,"1-deoxy-D-xylulose-5-phosphate synthase","MAG: 1-deoxy-D-xylulose-5-phosphate synthase","1-deoxy-D-xylulose-5-phosphate synthase","dxs","GO:0009228;GO:0016114;GO:0052865;GO:0000287;GO:0008661;GO:0030976;GO:0003824","thiamine biosynthetic process;terpenoid biosynthetic process;1-deoxy-D-xylulose 5-phosphate biosynthetic process;magnesium ion binding;1-deoxy-D-xylulose-5-phosphate synthase activity;thiamine pyrophosphate binding;catalytic activity","1-deoxy-D-xylulose-5-phosphate synthase "
"K01673",5.3715,4.4829,6.4611,5.1142,0,5.7383,8.0201,6.0458,8.034,6.0301,8.1538,7.5499,"Carbonic anhydrase","MAG: carbonic anhydrase","Carbonic anhydrase","","GO:0015976;GO:0004089;GO:0008270;GO:0016020","carbon utilization;carbonate dehydratase activity;zinc ion binding;membrane","carbonic anhydrase "
"K01679",0,0,0,0,0,0,0,0,2.0085,3.3501,0,3.3555,"Fumarate hydratase class II","MAG: class II fumarate hydratase","Fumarate hydratase class II","fumC","GO:0006099;GO:0006106;GO:0004333;GO:0045239;GO:0003824;GO:0016829","tricarboxylic acid cycle;fumarate metabolic process;fumarate hydratase activity;tricarboxylic acid cycle enzyme complex;catalytic activity;lyase activity","fumarate hydratase, class II "
"K01682",5.3715,12.328,12.922,10.228,14.436,14.92,49.725,50.382,47.534,36.851,21.404,31.877,"Aconitate hydratase B","MAG: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Aconitate hydratase B","acnB","GO:0006099;GO:0003723;GO:0003994;GO:0046872;GO:0047456;GO:0047780;GO:0051539;GO:0005829","tricarboxylic acid cycle;RNA binding;aconitate hydratase activity;metal ion binding;2-methylisocitrate dehydratase activity;citrate dehydratase activity;4 iron, 4 sulfur cluster binding;cytosol","aconitate hydratase 2 / 2-methylisocitrate dehydratase "
"K01687",40.286,34.743,32.305,22.162,34.285,26.396,40.101,35.603,38.161,38.191,25.481,29.361,"Dihydroxy-acid dehydratase","dihydroxy-acid dehydratase","","","GO:0009082;GO:0004160;GO:0003824;GO:0016836","branched-chain amino acid biosynthetic process;dihydroxy-acid dehydratase activity;catalytic activity;hydro-lyase activity","dihydroxy-acid dehydratase "
"K01689",45.658,44.829,47.381,54.551,63.156,44.759,54.537,42.321,41.509,36.181,41.788,37.75,"Enolase","MULTISPECIES: phosphopyruvate hydratase","","","GO:0006096;GO:0000287;GO:0004634;GO:0000015","glycolytic process;magnesium ion binding;phosphopyruvate hydratase activity;phosphopyruvate hydratase complex","enolase "
"K01693",0,0,5.3842,3.4095,0,4.5907,5.6141,0,1.339,3.3501,3.0577,0,"Histidine biosynthesis bifunctional protein HisB","MAG: imidazoleglycerol-phosphate dehydratase HisB","Imidazoleglycerol-phosphate dehydratase","hisB","GO:0000105;GO:0004424;GO:0005737","histidine biosynthetic process;imidazoleglycerol-phosphate dehydratase activity;cytoplasm","imidazoleglycerol-phosphate dehydratase "
"K01696",5.3715,7.8451,9.6916,0,0,9.1813,3.2081,7.3893,6.0255,7.3702,4.0769,9.2277,"Tryptophan synthase beta chain","MAG: tryptophan synthase subunit beta","Tryptophan synthase beta chain","trpB","GO:0000162;GO:0004834;GO:0006568","tryptophan biosynthetic process;tryptophan synthase activity;tryptophan metabolic process","tryptophan synthase beta chain "
"K01698",21.486,31.38,38.766,32.39,30.676,34.43,19.248,22.84,30.797,28.141,30.577,31.039,"Delta-aminolevulinic acid dehydratase","MULTISPECIES: porphobilinogen synthase","","","GO:0033014;GO:0004655;GO:0046872","tetrapyrrole biosynthetic process;porphobilinogen synthase activity;metal ion binding","porphobilinogen synthase "
"K01702",0,0,0,0,0,0,2.406,6.0458,6.0255,3.3501,0,0,"3-isopropylmalate dehydratase large subunit","MAG: 3-isopropylmalate dehydratase large subunit","3-isopropylmalate dehydratase large subunit","leuC","GO:0009098;GO:0003861;GO:0046872;GO:0051539","leucine biosynthetic process;3-isopropylmalate dehydratase activity;metal ion binding;4 iron, 4 sulfur cluster binding","3-isopropylmalate dehydratase "
"K01710",21.486,20.173,25.844,20.457,10.827,17.215,13.634,18.809,14.059,16.75,15.288,20.972,"dTDP-glucose 4,6-dehydratase 2","MAG: dTDP-glucose 4,6-dehydratase","dTDP-glucose 4,6-dehydratase","rfbB","GO:0009225;GO:0008460","nucleotide-sugar metabolic process;dTDP-glucose 4,6-dehydratase activity","dTDP-glucose 4,6-dehydratase "
"K01711",0,5.6036,7.5379,6.8189,0,4.5907,3.2081,16.794,14.059,17.42,7.1346,11.744,"GDP-mannose 4,6-dehydratase","MAG: GDP-mannose 4,6-dehydratase","GDP-mannose 4,6-dehydratase","gmd","GO:0019673;GO:0008446;GO:0070401","GDP-mannose metabolic process;GDP-mannose 4,6-dehydratase activity;NADP+ binding","GDPmannose 4,6-dehydratase "
"K01714",21.486,21.294,20.46,28.98,27.067,26.396,17.644,9.4046,14.729,10.72,23.442,18.455,"4-hydroxy-tetrahydrodipicolinate synthase","MAG: 4-hydroxy-tetrahydrodipicolinate synthase","4-hydroxy-tetrahydrodipicolinate synthase","dapA","GO:0009089;GO:0019877;GO:0008840;GO:0005737;GO:0016829","lysine biosynthetic process via diaminopimelate;diaminopimelate biosynthetic process;4-hydroxy-tetrahydrodipicolinate synthase activity;cytoplasm;lyase activity","4-hydroxy-tetrahydrodipicolinate synthase "
"K01725",0,4.4829,0,0,0,0,6.4161,0,6.0255,0,5.0961,2.5166,"Cyanate hydratase","cyanase","","","GO:0009439;GO:0003677;GO:0008824","cyanate metabolic process;DNA binding;cyanate hydratase activity","cyanate lyase "
"K01733",30.886,32.501,34.459,23.8659,16.2401,24.101,32.0801,32.916,32.805,27.47,22.4231,26.005,"Threonine synthase","threonine synthase;MAG: threonine synthase",";Threonine synthase","",";GO:0009088;GO:0004795;GO:0030170;GO:0006520",";threonine biosynthetic process;threonine synthase activity;pyridoxal phosphate binding;amino acid metabolic process","threonine synthase "
"K01735",0,2.2415,0,0,0,0,0,2.687,2.0085,2.01,4.0769,1.6778,"3-dehydroquinate synthase","MAG: 3-dehydroquinate synthase","3-dehydroquinate synthase","aroB","GO:0008652;GO:0009073;GO:0009423;GO:0000166;GO:0003856;GO:0046872;GO:0005737;GO:0016838","amino acid biosynthetic process;aromatic amino acid family biosynthetic process;chorismate biosynthetic process;nucleotide binding;3-dehydroquinate synthase activity;metal ion binding;cytoplasm;carbon-oxygen lyase activity, acting on phosphates;cellular amino acid biosynthetic process","3-dehydroquinate synthase "
"K01736",2.6857,2.2415,5.3842,3.4095,0,4.5907,2.406,4.0305,3.3475,6.0301,3.0577,4.1944,"Chorismate synthase","MULTISPECIES: chorismate synthase","","","GO:0009073;GO:0004107","aromatic amino acid family biosynthetic process;chorismate synthase activity","chorismate synthase "
"K01738",38.9431,48.191,45.228,64.78,64.961,55.088,34.4861,27.542,32.805,34.17,41.788,44.461,"Cysteine synthase","MAG: cysteine synthase A;MULTISPECIES: cysteine synthase A","Cysteine synthase A;","","GO:0006535;GO:0016765;GO:0004124","cysteine biosynthetic process from serine;transferase activity, transferring alkyl or aryl (other than methyl) groups;cysteine synthase activity","cysteine synthase "
"K01749",17.457,13.449,13.999,10.228,9.0223,14.92,14.436,16.122,16.737,14.07,19.365,14.261,"Porphobilinogen deaminase","MAG: hydroxymethylbilane synthase","Porphobilinogen deaminase","hemC","GO:0006779;GO:0018160;GO:0004418;GO:0033014","porphyrin-containing compound biosynthetic process;peptidyl-pyrromethane cofactor linkage;hydroxymethylbilane synthase activity;tetrapyrrole biosynthetic process","hydroxymethylbilane synthase "
"K01754",2.6857,4.4829,7.5379,0,0,4.5907,4.8121,6.7176,10.712,10.05,4.0769,10.905,"L-threonine dehydratase biosynthetic IlvA","threonine ammonia-lyase, biosynthetic","","","GO:0009097;GO:0004794;GO:0030170;GO:0006520","isoleucine biosynthetic process;L-threonine ammonia-lyase activity;pyridoxal phosphate binding;amino acid metabolic process","threonine dehydratase "
"K01755",0,3.3622,5.3842,0,0,3.443,4.8121,2.687,4.6865,1.34,3.0577,4.1944,"Argininosuccinate lyase","MAG: argininosuccinate lyase","Argininosuccinate lyase","argH","GO:0042450;GO:0004056;GO:0005737;GO:0003824","arginine biosynthetic process via ornithine;argininosuccinate lyase activity;cytoplasm;catalytic activity","argininosuccinate lyase "
"K01756",32.229,24.656,34.459,27.276,25.262,32.135,20.05,20.824,26.78,19.43,20.385,26.844,"Adenylosuccinate lyase","MULTISPECIES: adenylosuccinate lyase","","","GO:0009152;GO:0004018;GO:0003824","purine ribonucleotide biosynthetic process;N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity;catalytic activity","adenylosuccinate lyase "
"K01761",4.0286,0,3.2305,0,0,0,0,4.0305,4.6865,3.3501,0,5.8721,"L-methionine gamma-lyase","MAG: aluminum resistance family protein","Aluminum resistance family protein","","GO:0003824","catalytic activity","methionine-gamma-lyase "
"K01768",0,2.2415,4.3074,0,0,2.2953,4.0101,4.7023,4.6865,2.6801,2.0385,2.5166,"Adenylate cyclase 1","MAG: adenylate/guanylate cyclase domain-containing protein","Adenylate/guanylate cyclase domain-containing protein","","GO:0009190;GO:0035556;GO:0016020;GO:0004016;GO:0016021","cyclic nucleotide biosynthetic process;intracellular signal transduction;membrane;integral component of membrane;adenylate cyclase activity","adenylate cyclase "
"K01772",0,5.6036,4.3074,0,0,0,0,4.0305,3.3475,4.0201,0,5.0333,"Ferrochelatase","MAG: ferrochelatase","Ferrochelatase","hemH","GO:0006783;GO:0004325;GO:0046872;GO:0005737","heme biosynthetic process;ferrochelatase activity;metal ion binding;cytoplasm","protoporphyrin/coproporphyrin ferrochelatase "
"K01778",8.0572,10.087,8.6148,5.1142,7.2178,8.0337,2.406,7.3893,10.712,10.05,6.1154,7.5499,"Diaminopimelate epimerase","MAG: diaminopimelate epimerase","Diaminopimelate epimerase","dapF","GO:0009089;GO:0008837;GO:0005737","lysine biosynthetic process via diaminopimelate;diaminopimelate epimerase activity;cytoplasm","diaminopimelate epimerase "
"K01783",6.7143,17.932,16.153,20.457,16.24,17.215,10.426,11.42,10.042,10.72,18.346,12.583,"Ribulose-phosphate 3-epimerase","MULTISPECIES: ribulose-phosphate 3-epimerase","","","GO:0005975;GO:0006098;GO:0004750;GO:0016857","carbohydrate metabolic process;pentose-phosphate shunt;D-ribulose-phosphate 3-epimerase activity;racemase and epimerase activity, acting on carbohydrates and derivatives","ribulose-phosphate 3-epimerase "
"K01784",24.1716,23.5352,21.537,17.047,16.24,21.806,20.852,22.8398,27.449,23.4501,16.308,23.489,"dTDP-glucose 4,6-dehydratase;UDP-glucose 4-epimerase","MAG: 3-beta hydroxysteroid dehydrogenase;MAG: UDP-glucose 4-epimerase GalE",";UDP-glucose 4-epimerase",";galE",";GO:0006012;GO:0003978;GO:0016491",";galactose metabolic process;UDP-glucose 4-epimerase activity;oxidoreductase activity","UDP-glucose 4-epimerase "
"K01788",0,0,0,0,0,0,0,0,0,0,4.0769,4.1944,"Putative N-acetylmannosamine-6-phosphate 2-epimerase","MAG: acetylmannosamine-6-phosphate 2-epimerase","N-acylglucosamine-6-phosphate 2-epimerase","","GO:0005975;GO:0006051;GO:0019262;GO:0009385;GO:0047465","carbohydrate metabolic process;N-acetylmannosamine metabolic process;N-acetylneuraminate catabolic process;N-acylmannosamine-6-phosphate 2-epimerase activity;N-acylglucosamine-6-phosphate 2-epimerase activity","N-acylglucosamine-6-phosphate 2-epimerase "
"K01791",0,5.6036,6.4611,3.4095,0,6.886,0,4.7023,5.356,7.3702,3.0577,3.3555,"UDP-N-acetylglucosamine 2-epimerase","MAG: UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)","UDP-N-acetylglucosamine 2-epimerase","","GO:0008761","UDP-N-acetylglucosamine 2-epimerase activity","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) "
"K01803",2.6857,11.207,12.922,6.8189,9.0223,14.92,17.644,25.527,16.068,14.74,12.231,14.261,"Triosephosphate isomerase","MULTISPECIES: triose-phosphate isomerase","","","GO:0006096;GO:0004807","glycolytic process;triose-phosphate isomerase activity","triosephosphate isomerase (TIM) "
"K01807",17.457,13.449,15.076,22.162,16.24,17.215,14.436,14.107,16.068,15.41,12.231,13.422,"Ribose-5-phosphate isomerase A","MAG: ribose 5-phosphate isomerase A","Ribose-5-phosphate isomerase A","rpiA","GO:0009052;GO:0004751","pentose-phosphate shunt, non-oxidative branch;ribose-5-phosphate isomerase activity","ribose 5-phosphate isomerase A "
"K01810",75.201,75.089,76.456,88.646,86.614,78.041,101.05,84.641,76.992,85.762,87.653,92.277,"Glucose-6-phosphate isomerase","MAG: glucose-6-phosphate isomerase","Glucose-6-phosphate isomerase","pgi","GO:0006094;GO:0006096;GO:0004347;GO:0097367;GO:0005737;GO:1901135","gluconeogenesis;glycolytic process;glucose-6-phosphate isomerase activity;carbohydrate derivative binding;cytoplasm;carbohydrate derivative metabolic process","glucose-6-phosphate isomerase "
