"KO","27L1","27L2","27L3","30L1","30L2","30L3","27R1","27R2","27R3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef"
"K01749",24.218,23.261,19.568,18.725,21.743,20.497,41.333,39.97,38.475,36.568,33.185,33.137,"Porphobilinogen deaminase","hydroxymethylbilane synthase","","","GO:0018160;GO:0033014;GO:0004418","peptidyl-pyrromethane cofactor linkage;tetrapyrrole biosynthetic process;hydroxymethylbilane synthase activity","hydroxymethylbilane synthase "
"K01754",0,0,0,0,0,0,0,0,2.1986,3.8492,3.4932,0,"L-threonine dehydratase biosynthetic IlvA","threonine ammonia-lyase, biosynthetic","","","GO:0009097;GO:0004794;GO:0030170;GO:0006520","isoleucine biosynthetic process;L-threonine ammonia-lyase activity;pyridoxal phosphate binding;amino acid metabolic process","threonine dehydratase "
"K01755",0,0,0,0,0,0,5.2991,7.5619,4.3972,6.7362,8.733,5.5229,"Argininosuccinate lyase","argininosuccinate lyase","","","GO:0042450;GO:0004056;GO:0003824","arginine biosynthetic process via ornithine;argininosuccinate lyase activity;catalytic activity","argininosuccinate lyase "
"K01756",5.3818,6.2625,0,2.9566,0,0,18.017,14.043,15.39,18.284,19.213,17.673,"Adenylosuccinate lyase","adenylosuccinate lyase","","","GO:0009152;GO:0004018;GO:0003824","purine ribonucleotide biosynthetic process;N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity;catalytic activity","adenylosuccinate lyase "
"K01772",43.054,37.575,52.948,32.523,24.158,38.067,15.897,14.043,15.39,11.548,13.099,16.569,"Ferrochelatase","ferrochelatase","","","GO:0006783;GO:0004325","heme biosynthetic process;ferrochelatase activity","protoporphyrin/coproporphyrin ferrochelatase "
"K01778",0,0,0,0,0,0,7.4188,5.4013,5.4965,6.7362,7.8597,5.5229,"Diaminopimelate epimerase","diaminopimelate epimerase","","","GO:0009089;GO:0008837;GO:0005737","lysine biosynthetic process via diaminopimelate;diaminopimelate epimerase activity;cytoplasm","diaminopimelate epimerase "
"K01783",4.4848,0,0,0,0,0,8.4786,7.5619,5.4965,4.8115,7.8597,9.9412,"Ribulose-phosphate 3-epimerase","ribulose-phosphate 3-epimerase","","","GO:0005975;GO:0006098;GO:0004750;GO:0016857","carbohydrate metabolic process;pentose-phosphate shunt;D-ribulose-phosphate 3-epimerase activity;racemase and epimerase activity, acting on carbohydrates and derivatives","ribulose-phosphate 3-epimerase "
"K01784",8.0727,8.0518,0,0,0,4.8803,11.658,11.883,12.092,10.585,16.593,11.046,"UDP-glucose 4-epimerase","NAD-dependent epimerase/dehydratase family protein","","","","","UDP-glucose 4-epimerase "
"K01791",6.2788,7.1571,0,0,0,4.8803,15.897,10.803,15.39,15.397,16.593,17.673,"UDP-N-acetylglucosamine 2-epimerase","MAG: UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)","","","GO:0008761","UDP-N-acetylglucosamine 2-epimerase activity","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) "
"K01803",0,0,0,0,0,0,7.4188,12.963,10.993,14.435,14.846,7.732,"Triosephosphate isomerase","triose-phosphate isomerase","","","GO:0006096;GO:0004807","glycolytic process;triose-phosphate isomerase activity","triosephosphate isomerase (TIM) "
"K01807",17.939,18.787,16.115,17.74,14.495,18.545,23.316,20.525,19.787,21.171,20.086,23.196,"Ribose-5-phosphate isomerase A","ribose-5-phosphate isomerase RpiA","","","GO:0009052;GO:0004751","pentose-phosphate shunt, non-oxidative branch;ribose-5-phosphate isomerase activity","ribose 5-phosphate isomerase A "
"K01810",43.951,35.786,28.776,22.667,20.535,28.306,42.393,47.532,42.873,39.455,43.665,45.288,"Glucose-6-phosphate isomerase","glucose-6-phosphate isomerase","Glucose-6-phosphate isomerase","pgi","GO:0006094;GO:0006096;GO:0004347;GO:0097367;GO:0005737;GO:1901135","gluconeogenesis;glycolytic process;glucose-6-phosphate isomerase activity;carbohydrate derivative binding;cytoplasm;carbohydrate derivative metabolic process","glucose-6-phosphate isomerase "
"K01814",0,0,0,0,0,0,5.2991,4.3211,5.4965,4.8115,6.1131,0,"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase","","","GO:0000105;GO:0003949","histidine biosynthetic process;1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase "
"K01835",3.5879,6.2625,0,0,0,0,25.436,18.365,20.887,18.284,19.213,15.464,"Phosphoglucomutase","alpha-D-glucose phosphate-specific phosphoglucomutase","","","GO:0005975;GO:0000287;GO:0004614;GO:0071704;GO:0016868","carbohydrate metabolic process;magnesium ion binding;phosphoglucomutase activity;organic substance metabolic process;intramolecular transferase activity, phosphotransferases","phosphoglucomutase "
"K01840",0,0,0,0,0,0,7.4188,6.4816,5.4965,7.6985,7.8597,3.3137,"Phosphoglucomutase","phosphoglucomutase/phosphomannomutase family protein","","","GO:0005975;GO:0000287;GO:0016868;GO:0071704","carbohydrate metabolic process;magnesium ion binding;intramolecular transferase activity, phosphotransferases;organic substance metabolic process","phosphomannomutase "
"K01845",29.6,29.523,26.474,26.61,27.782,30.258,26.496,30.247,27.482,30.794,29.692,29.824,"Glutamate-1-semialdehyde 2,1-aminomutase","glutamate-1-semialdehyde 2,1-aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase","hemL","GO:0006782;GO:0015995;GO:0008483;GO:0030170;GO:0042286;GO:0005737;GO:0033014;GO:0003824","protoporphyrinogen IX biosynthetic process;chlorophyll biosynthetic process;transaminase activity;pyridoxal phosphate binding;glutamate-1-semialdehyde 2,1-aminomutase activity;cytoplasm;tetrapyrrole biosynthetic process;catalytic activity","glutamate-1-semialdehyde 2,1-aminomutase "
"K01866",0,0,0,0,0,0,0,4.3211,3.2979,5.7738,3.4932,0,"Tyrosine--tRNA ligase","tyrosine--tRNA ligase","","","GO:0006437;GO:0003723;GO:0004831;GO:0005524;GO:0006418;GO:0000166;GO:0004812","tyrosyl-tRNA aminoacylation;RNA binding;tyrosine-tRNA ligase activity;ATP binding;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","tyrosyl-tRNA synthetase "
"K01868",0,0,0,0,0,0,9.5384,11.883,10.993,9.6231,11.353,8.8366,"Threonine--tRNA ligase","threonine--tRNA ligase","","","GO:0006435;GO:0004829;GO:0005524;GO:0005737;GO:0006418;GO:0043039;GO:0000166;GO:0004812","threonyl-tRNA aminoacylation;threonine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;tRNA aminoacylation;nucleotide binding;aminoacyl-tRNA ligase activity","threonyl-tRNA synthetase "
"K01869",0,0,0,0,0,0,10.598,7.5619,9.8937,16.359,13.973,8.8366,"Leucine--tRNA ligase","leucine--tRNA ligase","Leucine--tRNA ligase","leuS","GO:0006429;GO:0106074;GO:0002161;GO:0004823;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","leucyl-tRNA aminoacylation;aminoacyl-tRNA metabolism involved in translational fidelity;aminoacyl-tRNA editing activity;leucine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","leucyl-tRNA synthetase "
"K01870",0,0,0,0,0,0,4.2393,0,3.2979,4.8115,5.2398,0,"Isoleucine--tRNA ligase","isoleucine--tRNA ligase","","","GO:0006428;GO:0000049;GO:0002161;GO:0004822;GO:0005524;GO:0006418;GO:0000166;GO:0004812","isoleucyl-tRNA aminoacylation;tRNA binding;aminoacyl-tRNA editing activity;isoleucine-tRNA ligase activity;ATP binding;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","isoleucyl-tRNA synthetase "
"K01872",0,0,0,0,0,0,4.2393,0,2.1986,3.8492,6.1131,0,"Alanine--tRNA ligase","alanine--tRNA ligase","","","GO:0006419;GO:0003676;GO:0004813;GO:0005524;GO:0005737;GO:0043039;GO:0000166;GO:0004812","alanyl-tRNA aminoacylation;nucleic acid binding;alanine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation;nucleotide binding;aminoacyl-tRNA ligase activity","alanyl-tRNA synthetase "
"K01873",0,0,0,0,0,0,11.658,8.6421,7.6951,14.435,13.973,5.5229,"Valine--tRNA ligase","MAG: valine--tRNA ligase","","","GO:0006438;GO:0002161;GO:0004832;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","valyl-tRNA aminoacylation;aminoacyl-tRNA editing activity;valine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","valyl-tRNA synthetase "
"K01874",0,0,0,0,0,0,6.3589,4.3211,4.3972,6.7362,6.1131,5.5229,"Methionine--tRNA ligase","methionine--tRNA ligase","Methionine--tRNA ligase","metG","GO:0006431;GO:0004825;GO:0005524;GO:0046872;GO:0005737;GO:0006418;GO:0000166;GO:0004812","methionyl-tRNA aminoacylation;methionine-tRNA ligase activity;ATP binding;metal ion binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","methionyl-tRNA synthetase "
"K01875",2.6909,1.7893,0,0,0,0,9.5384,6.4816,12.092,8.6608,9.6063,4.4183,"Serine--tRNA ligase","serine--tRNA ligase","Serine--tRNA ligase     synthetase)","serS","GO:0006434;GO:0016260;GO:0097056;GO:0004828;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","seryl-tRNA aminoacylation;selenocysteine biosynthetic process;selenocysteinyl-tRNA(Sec) biosynthetic process;serine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","seryl-tRNA synthetase "
"K01876",3.5879,0,0,0,0,0,11.658,16.204,23.085,25.02,18.339,14.359,"Aspartate--tRNA ligase","aspartate--tRNA ligase","","","GO:0006418;GO:0003676;GO:0004812;GO:0005524;GO:0005737;GO:0000166;GO:0016874","tRNA aminoacylation for protein translation;nucleic acid binding;aminoacyl-tRNA ligase activity;ATP binding;cytoplasm;nucleotide binding;ligase activity","aspartyl-tRNA synthetase "
"K01878",0,0,0,0,0,0,3.1795,3.2408,0,4.8115,4.3665,0,"Glycine--tRNA ligase alpha subunit","MULTISPECIES: glycine--tRNA ligase subunit alpha","","","GO:0006426;GO:0004820;GO:0005524;GO:0005737;GO:0000166","glycyl-tRNA aminoacylation;glycine-tRNA ligase activity;ATP binding;cytoplasm;nucleotide binding","glycyl-tRNA synthetase alpha chain "
"K01879",2.6909,7.1571,0,2.9566,0,0,23.316,23.766,30.78,31.756,30.565,28.719,"Glycine--tRNA ligase beta subunit","glycine--tRNA ligase subunit beta","","","GO:0006426;GO:0004820;GO:0005524;GO:0005737;GO:0000166","glycyl-tRNA aminoacylation;glycine-tRNA ligase activity;ATP binding;cytoplasm;nucleotide binding","glycyl-tRNA synthetase beta chain "
"K01881",0,0,0,0,0,0,2.1196,2.1605,3.2979,7.6985,7.8597,3.3137,"Proline--tRNA ligase","proline--tRNA ligase","","","GO:0006433;GO:0002161;GO:0004827;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","prolyl-tRNA aminoacylation;aminoacyl-tRNA editing activity;proline-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","prolyl-tRNA synthetase "
"K01885",3.5879,2.6839,0,0,0,0,11.658,8.6421,14.291,10.585,12.226,7.732,"Glutamate--tRNA ligase","glutamate--tRNA ligase","","","GO:0006424;GO:0000049;GO:0004818;GO:0005524;GO:0008270;GO:0006418;GO:0043039;GO:0000166;GO:0004812","glutamyl-tRNA aminoacylation;tRNA binding;glutamate-tRNA ligase activity;ATP binding;zinc ion binding;tRNA aminoacylation for protein translation;tRNA aminoacylation;nucleotide binding;aminoacyl-tRNA ligase activity","glutamyl-tRNA synthetase "
"K01887",0,0,0,0,0,0,12.718,8.6421,9.8937,6.7362,11.353,3.3137,"Arginine--tRNA ligase","arginine--tRNA ligase","","","GO:0006420;GO:0004814;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","arginyl-tRNA aminoacylation;arginine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","arginyl-tRNA synthetase "
"K01889",0,0,0,0,0,0,6.3589,5.4013,6.5958,5.7738,6.1131,4.4183,"Phenylalanine--tRNA ligase alpha subunit","phenylalanine--tRNA ligase subunit alpha","Phenylalanine--tRNA ligase alpha subunit","pheS","GO:0006432;GO:0000049;GO:0000287;GO:0004826;GO:0005524;GO:0005737;GO:0043039;GO:0000166;GO:0004812","phenylalanyl-tRNA aminoacylation;tRNA binding;magnesium ion binding;phenylalanine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation;nucleotide binding;aminoacyl-tRNA ligase activity","phenylalanyl-tRNA synthetase alpha chain "
"K01890",0,0,0,0,0,0,3.1795,0,2.1986,4.8115,6.9864,0,"Phenylalanine--tRNA ligase beta subunit","phenylalanine--tRNA ligase subunit beta","","","GO:0006432;GO:0000049;GO:0000287;GO:0004826;GO:0005524;GO:0003723","phenylalanyl-tRNA aminoacylation;tRNA binding;magnesium ion binding;phenylalanine-tRNA ligase activity;ATP binding;RNA binding","phenylalanyl-tRNA synthetase beta chain "
"K01892",0,0,0,0,0,0,3.1795,0,3.2979,3.8492,5.2398,0,"Histidine--tRNA ligase","histidine--tRNA ligase","","","GO:0006427;GO:0004821;GO:0005524;GO:0005737","histidyl-tRNA aminoacylation;histidine-tRNA ligase activity;ATP binding;cytoplasm","histidyl-tRNA synthetase "
"K01895",10.764,8.9464,3.4531,2.9566,0,2.9282,23.316,24.846,29.681,35.605,30.565,24.301,"Acetyl-coenzyme A synthetase","acetate--CoA ligase","Acetyl-coenzyme A synthetase","acs","GO:0019427;GO:0003987;GO:0005524;GO:0016208;GO:0046872","acetyl-CoA biosynthetic process from acetate;acetate-CoA ligase activity;ATP binding;AMP binding;metal ion binding","acetyl-CoA synthetase "
"K01897",4.4848,4.4732,0,0,0,0,8.4786,8.6421,9.8937,11.548,10.48,8.8366,"Long-chain-fatty-acid--CoA ligase FadD15","AMP-binding protein","","","","","long-chain acyl-CoA synthetase "
"K01921",3.5879,5.3678,0,0,0,0,7.4188,6.4816,12.092,8.6608,6.9864,7.732,"D-alanine--D-alanine ligase","D-alanine--D-alanine ligase","D-alanine--D-alanine ligase","ddl","GO:0008360;GO:0009252;GO:0071555;GO:0005524;GO:0008716;GO:0046872;GO:0005737","regulation of cell shape;peptidoglycan biosynthetic process;cell wall organization;ATP binding;D-alanine-D-alanine ligase activity;metal ion binding;cytoplasm","D-alanine-D-alanine ligase "
"K01923",0,0,0,0,0,0,4.2393,4.3211,5.4965,5.7738,2.6199,3.3137,"Phosphoribosylaminoimidazole-succinocarboxamide synthase","phosphoribosylaminoimidazolesuccinocarboxamide synthase","","","GO:0006164;GO:0009236;GO:0004639","purine nucleotide biosynthetic process;cobalamin biosynthetic process;phosphoribosylaminoimidazolesuccinocarboxamide synthase activity","phosphoribosylaminoimidazole-succinocarboxamide synthase "
"K01925",0,0,0,0,0,0,3.1795,0,3.2979,3.8492,2.6199,0,"UDP-N-acetylmuramoylalanine--D-glutamate ligase","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","","","GO:0008360;GO:0009396;GO:0051301;GO:0004326;GO:0005524;GO:0008764;GO:0005737;GO:0009058;GO:0016874","regulation of cell shape;folic acid-containing compound biosynthetic process;cell division;tetrahydrofolylpolyglutamate synthase activity;ATP binding;UDP-N-acetylmuramoylalanine-D-glutamate ligase activity;cytoplasm;biosynthetic process;ligase activity","UDP-N-acetylmuramoylalanine--D-glutamate ligase "
"K01928",0,0,0,0,0,0,3.1795,0,3.2979,3.8492,2.6199,4.4183,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","","","GO:0008360;GO:0009058;GO:0051301;GO:0005524;GO:0016881;GO:0005737;GO:0016874","regulation of cell shape;biosynthetic process;cell division;ATP binding;acid-amino acid ligase activity;cytoplasm;ligase activity","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase "
"K01937",0,0,0,0,0,0,6.3589,7.5619,6.5958,8.6608,8.733,0,"CTP synthase","CTP synthase","","","GO:0006241;GO:0003883;GO:0006221","CTP biosynthetic process;CTP synthase activity;pyrimidine nucleotide biosynthetic process","CTP synthase "
"K01939",0,0,0,0,0,0,13.778,15.124,20.887,22.133,20.086,14.359,"Adenylosuccinate synthetase","adenylosuccinate synthase","","","GO:0006164;GO:0004019;GO:0005525;GO:0000166","purine nucleotide biosynthetic process;adenylosuccinate synthase activity;GTP binding;nucleotide binding","adenylosuccinate synthase "
"K01940",5.3818,5.3678,0,0,0,0,23.316,23.766,20.887,28.869,25.326,26.51,"Argininosuccinate synthase","argininosuccinate synthase","","","GO:0006526;GO:0004055;GO:0005524","arginine biosynthetic process;argininosuccinate synthase activity;ATP binding","argininosuccinate synthase "
"K01945",0,0,0,0,0,0,7.4188,7.5619,10.993,12.51,13.973,13.255,"Phosphoribosylamine--glycine ligase","phosphoribosylamine--glycine ligase","","","GO:0009113;GO:0004637;GO:0005524;GO:0046872","purine nucleobase biosynthetic process;phosphoribosylamine-glycine ligase activity;ATP binding;metal ion binding","phosphoribosylamine---glycine ligase "
"K01951",1.7939,0,0,0,0,0,8.4786,6.4816,6.5958,6.7362,8.733,7.732,"GMP synthase [glutamine-hydrolyzing]","glutamine-hydrolyzing GMP synthase","","","GO:0006177;GO:0003922;GO:0005524;GO:0016462;GO:0006164","GMP biosynthetic process;GMP synthase (glutamine-hydrolyzing) activity;ATP binding;pyrophosphatase activity;purine nucleotide biosynthetic process","GMP synthase (glutamine-hydrolysing) "
"K01955",0,0,0,0,0,0,8.4786,9.7224,14.291,20.208,18.339,7.732,"Carbamoyl-phosphate synthase large chain","carbamoyl-phosphate synthase large subunit","","","GO:0006807;GO:0005524;GO:0046872","nitrogen compound metabolic process;ATP binding;metal ion binding","carbamoyl-phosphate synthase large subunit "
"K01961",0,0,0,0,0,0,7.4188,7.5619,7.6951,12.51,17.466,5.5229,"Biotin carboxylase","acetyl-CoA carboxylase biotin carboxylase subunit","","","GO:0005524;GO:0016874;GO:0046872","ATP binding;ligase activity;metal ion binding","acetyl-CoA carboxylase, biotin carboxylase subunit "
"K01962",3.5879,5.3678,0,0,0,0,8.4786,6.4816,6.5958,8.6608,7.8597,3.3137,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","acetyl-CoA carboxylase carboxyltransferase subunit alpha","","","GO:0006633;GO:0003989;GO:0009317;GO:0016874","fatty acid biosynthetic process;acetyl-CoA carboxylase activity;acetyl-CoA carboxylase complex;ligase activity","acetyl-CoA carboxylase carboxyl transferase subunit alpha "
"K01963",0,0,0,0,0,0,4.2393,2.1605,0,1.9246,3.4932,0,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","acetyl-CoA carboxylase carboxyltransferase subunit beta","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","accD","GO:0006633;GO:2001295;GO:0003989;GO:0005524;GO:0008270;GO:0016743;GO:0009317","fatty acid biosynthetic process;malonyl-CoA biosynthetic process;acetyl-CoA carboxylase activity;ATP binding;zinc ion binding;carboxyl- or carbamoyltransferase activity;acetyl-CoA carboxylase complex","acetyl-CoA carboxylase carboxyl transferase subunit beta "
"K01990",9.8666,6.2625,0,0,0,0,9.5384,10.803,9.8937,11.548,9.6063,9.9412,"Daunorubicin/doxorubicin resistance ATP-binding protein DrrA","ATP-binding cassette domain-containing protein","ATP-binding cassette domain-containing protein","","GO:0005524","ATP binding","ABC-2 type transport system ATP-binding protein"
"K01991",32.291,28.629,37.985,31.537,33.822,36.115,21.196,18.365,20.887,19.246,20.086,20.987,"hypothetical protein","polysaccharide biosynthesis/export family protein","","","GO:0015774;GO:0015159;GO:0016020","polysaccharide transport;polysaccharide transmembrane transporter activity;membrane","polysaccharide biosynthesis/export protein"
"K02012",313.04,310.44,361.43,276.94,231.92,293.8,18.017,20.525,15.39,23.095,22.706,24.301,"Iron deficiency-induced protein A","extracellular solute-binding protein","","","","","iron(III) transport system substrate-binding protein"
"K02028",6.2788,4.4732,3.4531,0,0,2.9282,7.4188,3.2408,4.3972,5.7738,6.9864,7.732,"Glutamine transport ATP-binding protein GlnQ","amino acid ABC transporter ATP-binding protein","Amino acid ABC transporter ATP-binding protein","","GO:0003333;GO:0005524;GO:0015424;GO:0055052","amino acid transmembrane transport;ATP binding;ABC-type amino acid transporter activity;ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","polar amino acid transport system ATP-binding protein "
"K02030",0,0,0,0,0,0,8.4786,7.5619,4.3972,0,4.3665,2.2092,"hypothetical protein;ABC transporter arginine-binding protein 1","hypothetical protein;transporter substrate-binding domain-containing protein","","","","","polar amino acid transport system substrate-binding protein"
"K02036",0,0,0,0,0,0,6.3589,6.4816,5.4965,7.6985,6.1131,3.3137,"Phosphate import ATP-binding protein PstB 3","phosphate ABC transporter ATP-binding protein PstB","","","GO:0035435;GO:0005315;GO:0005524;GO:0016020","phosphate ion transmembrane transport;inorganic phosphate transmembrane transporter activity;ATP binding;membrane","phosphate transport system ATP-binding protein "
"K02040",60.097,52.784,66.761,60.118,55.564,58.564,42.3933,48.6123,39.5749,48.1152,41.0454,48.6013,"Phosphate-binding protein PstS","phosphate ABC transporter substrate-binding protein PstS","","","GO:0035435;GO:0042301;GO:0043190","phosphate ion transmembrane transport;phosphate ion binding;ATP-binding cassette (ABC) transporter complex","phosphate transport system substrate-binding protein"
"K02044",10.764,10.736,8.0573,10.841,0,6.8325,9.5384,7.5619,7.6951,11.548,12.226,12.15,"putative ABC transporter phosphite binding protein PhnD1","putative selenate ABC transporter substrate-binding protein","","","GO:0055085;GO:0043190","transmembrane transport;ATP-binding cassette (ABC) transporter complex","phosphonate transport system substrate-binding protein"
"K02065",3.5879,5.3678,0,2.9566,0,2.9282,4.2393,3.2408,4.3972,4.8115,6.1131,5.5229,"putative phospholipid import ATP-binding protein MlaF","ATP-binding cassette domain-containing protein","","","GO:0005524","ATP binding","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein"
"K02078",0,0,0,0,0,0,4.2393,3.2408,0,0,0,4.4183,"Meromycolate extension acyl carrier protein","phosphopantetheine-binding protein","","","","","acyl carrier protein"
"K02092",87.006,88.569,124.31,114.32,142.53,119.08,63.589,71.298,70.355,63.512,55.018,69.588,"Allophycocyanin alpha subunit","MULTISPECIES: allophycocyanin","","","GO:0015979;GO:0030089","photosynthesis;phycobilisome","allophycocyanin alpha subunit"
"K02093",77.139,73.361,103.59,101.51,108.71,110.3,102.8,101.54,85.745,86.608,80.343,90.575,"Allophycocyanin beta chain","MULTISPECIES: allophycocyanin subunit beta","Allophycocyanin subunit beta","","GO:0015979;GO:0030089;GO:0031676","photosynthesis;phycobilisome;plasma membrane-derived thylakoid membrane","allophycocyanin beta subunit"
"K02094",8.9697,9.8411,0,6.8988,0,0,15.897,17.284,17.589,14.435,13.973,17.673,"Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core","phycobilisome linker polypeptide","","","GO:0015979;GO:0030089","photosynthesis;phycobilisome","phycobilisome core linker protein"
"K02095",14.351,14.314,9.2084,9.8554,6.0396,11.713,40.273,36.729,30.78,33.681,34.059,30.928,"Allophycocyanin alpha-B chain","allophycocyanin","","","GO:0015979;GO:0030089","photosynthesis;phycobilisome","allophycocyanin-B"
"K02096",97.769,113.62,90.933,124.18,142.53,142.51,162.15,172.84,167.09,174.18,161.56,192.2,"Phycobiliprotein ApcE","phycobilisome rod-core linker polypeptide","","","GO:0015979;GO:0030089","photosynthesis;phycobilisome","phycobilisome core-membrane linker protein"
"K02097",6.2788,8.0518,0,9.8554,0,0,19.077,23.766,21.986,21.171,20.086,18.778,"Phycobiliprotein beta chain","allophycocyanin subunit beta","","","GO:0015979;GO:0030089","photosynthesis;phycobilisome","phycobilisome core component"
"K02109",54.715,47.416,69.063,65.046,78.514,60.516,23.316,27.007,23.085,25.982,20.959,23.196,"ATP synthase subunit b;ATP synthase subunit b'","F0F1 ATP synthase subunit B;MULTISPECIES: F0F1 ATP synthase subunit B'",";ATP synthase subunit b'  sector subunit b')",";atpG","GO:0015986;GO:0015078;GO:0045263;GO:1902600;GO:0046933;GO:0031676;GO:0016021","proton motive force-driven ATP synthesis;proton transmembrane transporter activity;proton-transporting ATP synthase complex, coupling factor F(o);proton transmembrane transport;proton-transporting ATP synthase activity, rotational mechanism;plasma membrane-derived thylakoid membrane;integral component of membrane","F-type H+-transporting ATPase subunit b"
"K02111",115.71,123.46,142.73,150.79,187.23,190.33,114.46,119.91,123.12,108.74,99.556,117.09,"ATP synthase subunit alpha","MULTISPECIES: F0F1 ATP synthase subunit alpha","ATP synthase subunit alpha","atpA","GO:0015986;GO:1902600;GO:0005524;GO:0046933;GO:0046961;GO:0031676;GO:0045261;GO:0046034;GO:0032559","proton motive force-driven ATP synthesis;proton transmembrane transport;ATP binding;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATPase activity, rotational mechanism;plasma membrane-derived thylakoid membrane;proton-transporting ATP synthase complex, catalytic core F(1);ATP metabolic process;adenyl ribonucleotide binding","F-type H+/Na+-transporting ATPase subunit alpha "
"K02113",20.63,22.366,18.417,16.754,20.535,23.426,23.316,22.686,15.39,17.322,18.339,18.778,"ATP synthase subunit delta","MULTISPECIES: ATP synthase F1 subunit delta","","","GO:0015986;GO:0046933","proton motive force-driven ATP synthesis;proton-transporting ATP synthase activity, rotational mechanism","F-type H+-transporting ATPase subunit delta"
"K02114",14.351,14.314,0,14.783,0,15.617,16.957,15.124,16.489,12.51,13.973,15.464,"ATP synthase epsilon chain","F0F1 ATP synthase subunit epsilon","ATP synthase epsilon chain","atpC","GO:0015986;GO:1902600;GO:0005524;GO:0046933;GO:0031676;GO:0045261","proton motive force-driven ATP synthesis;proton transmembrane transport;ATP binding;proton-transporting ATP synthase activity, rotational mechanism;plasma membrane-derived thylakoid membrane;proton-transporting ATP synthase complex, catalytic core F(1)","F-type H+-transporting ATPase subunit epsilon"
"K02115",36.776,37.575,34.531,36.465,43.485,47.827,42.393,38.89,41.773,40.417,39.298,37.556,"ATP synthase gamma chain","MULTISPECIES: F0F1 ATP synthase subunit gamma","","","GO:0015986;GO:0046933;GO:0045261","proton motive force-driven ATP synthesis;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATP synthase complex, catalytic core F(1)","F-type H+-transporting ATPase subunit gamma"
"K02133",173.11,194.14,171.51,196.12,188.44,230.35,136.72,138.27,134.11,120.29,113.53,120.4,"ATP synthase subunit beta","F0F1 ATP synthase subunit beta","","","GO:0015986;GO:1902600;GO:0005524;GO:0046933;GO:0045261;GO:0046034","proton motive force-driven ATP synthesis;proton transmembrane transport;ATP binding;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATP synthase complex, catalytic core F(1);ATP metabolic process","F-type H+-transporting ATPase subunit beta "
